address,lat,lon
さいたま市大宮区天沼町１丁目,35.9077118,139.6428082
さいたま市大宮区仲町３丁目,35.9054462,139.6297976
さいたま市大宮区大門町１丁目,35.9069082,139.6250314
さいたま市大宮区仲町２丁目,35.9052255,139.6271847
さいたま市大宮区高鼻町１丁目,35.9128869,139.6292017
さいたま市大宮区堀の内町２丁目,35.9139192,139.6425554
さいたま市大宮区錦町,35.908368,139.6226189
さいたま市大宮区吉敷町２丁目,35.8998514,139.6295487
さいたま市大宮区吉敷町４丁目,35.8964588,139.6346205
さいたま市南区内谷３丁目,35.83325,139.6385
さいたま市南区白幡２丁目,35.8489375,139.653575
蕨市塚越３丁目,35.8258489,139.7000734
蕨市塚越５丁目,35.8212002,139.7025711
蕨市北町１丁目,35.8297585,139.6832334
戸田市喜沢１丁目,35.8132922,139.6964844
戸田市中町１丁目,35.8127195,139.6914216
戸田市大字新曽,35.8191554,139.6639726
川口市西川口６丁目,35.8088954,139.7005713
川口市上青木３丁目,35.8280087,139.7200656
川口市前川３丁目,35.8395597,139.7117829
川口市柳崎５丁目,35.8584048,139.7048521
川口市柳根町,35.8508656,139.7059035
川口市中青木２丁目,35.8106442,139.7189605
川口市中青木３丁目,35.8138112,139.7187137
川口市朝日２丁目,35.8114011,139.7329616
川口市栄町１丁目,35.8040054,139.7281873
川口市元郷５丁目,35.7991477,139.7389752
川口市元郷６丁目,35.7999678,139.7436851
川口市幸町１丁目,35.8054846,139.7234881
川口市本町３丁目,35.8012731,139.7229731
川口市並木３丁目,35.8186832,139.7050452
川口市芝中田１丁目,35.8296092,139.6987474
川口市芝中田２丁目,35.8290264,139.7032964
朝霞市三原２丁目,35.815879,139.578288
草加市高砂２丁目,35.828142,139.805352
草加市氷川町,35.8270822,139.7999012
草加市吉町１丁目,35.8250076,139.8105633
草加市吉町２丁目,35.8234939,139.809705
草加市栄町１丁目,35.8380681,139.8051399
草加市草加３丁目,35.8373332,139.79756
草加市松原１丁目,35.8443867,139.7991693
草加市松原２丁目,35.8433865,139.796133
草加市花栗４丁目,35.8381073,139.7913158
草加市稲荷６丁目,35.8374897,139.8289847
草加市谷塚上町,35.8159166,139.7897494
草加市両新田西町,35.8137415,139.7841167
草加市瀬崎３丁目,35.8117057,139.8066044
草加市谷塚１丁目,35.8112184,139.8008644
草加市新栄３丁目,35.8608221,139.7662747
八潮市大字大瀬,35.8028394,139.8511934
八潮市大字南川崎,35.8132544,139.8586929
川越市大字砂新田,35.8908494,139.4938688
